N,R_m,R_over_lP,R_over_c_s,t_coh_s,beta,degeneracy,omega_rad_s,nu_Hz,epsilon0_J,shell_zero_point_J,bare_cutoff_M,bare_cutoff_energy_J,scalar_Casimir_energy_J,scalar_Casimir_density_J_m3,scalar_Casimir_pressure_Pa,mode_temperature_K,equal_thermal_zero_temperature_K,mean_Planck_energy_at_theta_J,theta,single_mode_compactness,scalar_Casimir_compactness,epsilon0_R_over_c_Js,scalar_Casimir_R_over_c_Js,rho_R4_Jm
19,1.5110368167879996e-31,9349.000106963316,5.040276286029849e-40,1.583449495225422e-39,1,1,1.9840182229131037e+39,3.1576630736101833e+38,104614.48511492914,104614.48511492914,24,9415303660.343622,871.7873759577428,1.2801347777480302e+94,4.2671159258267675e+93,1.5154392624762576e+28,1.3794122622763335e+28,209228.97022985827,0.9102392266268373,1.1441149763243127e-08,9.534291469369273e-11,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
20,2.4449089278154293e-31,15126.999933893037,8.155338343486377e-40,2.5620751027435957e-39,1,1,1.2261906960594644e+39,1.951543104511556e+38,64655.30751659621,64655.3075165962,24,5818977676.493658,538.7942293049683,1.867691470088352e+93,6.22563823362784e+92,9.365929720964011e+27,8.525236625851591e+27,129310.61503319241,0.9102392266268373,4.370130339181069e-09,3.6417752826508906e-11,5.272859085000001e-35,4.3940492375e-37,6.673534054403202e-30
21,3.955945744603433e-31,24476.00004085638,1.319561462951624e-39,4.145524597969022e-39,1,1,7.578275268536397e+38,1.2061199690986281e+38,39959.17759833296,39959.17759833296,24,3596325983.8499665,332.99314665277467,2.724925131381253e+92,9.083083771270843e+91,5.788462903798569e+27,5.268885996911747e+27,79918.35519666591,0.9102392266268373,1.6692412543000572e-09,1.391034378583381e-11,5.272859085e-35,4.3940492375000005e-37,6.673534054403202e-30
22,6.400854672418862e-31,39602.999974749415,2.1350952973002618e-39,6.707599700712617e-39,1,1,4.683631692058233e+38,7.454231354129256e+37,24696.129918263174,24696.129918263174,24,2222651692.6436853,205.80108265219312,3.975612187853456e+91,1.3252040626178186e+91,3.5774668171654305e+27,3.2563506289398344e+27,49392.25983652635,0.9102392266268373,6.37593423719116e-10,5.313278530992633e-12,5.272859085e-35,4.3940492375e-37,6.673534054403202e-30
23,1.0356800417022287e-30,64079.00001560575,3.454656760251883e-39,1.0853124298681632e-38,1,1,2.8946435764781703e+38,4.606968336857036e+37,15263.047680069812,15263.047680069812,24,1373674291.2062833,127.19206400058178,5.800340011616104e+90,1.9334466705387013e+90,2.210996086633143e+27,2.0125353679719159e+27,30526.095360139625,0.9102392266268373,2.435390168572892e-10,2.0294918071440765e-12,5.272859085e-35,4.3940492375000005e-37,6.673534054403202e-30
24,1.6757655089441166e-30,103681.99999035527,5.5897520575521505e-39,1.7560723999394264e-38,1,1,1.788988115580063e+38,2.84726301727222e+37,9433.082238193365,9433.082238193363,24,848977401.4374027,78.60901865161136,8.462582027780673e+89,2.820860675926891e+89,1.366470730532288e+27,1.243815260967919e+27,18866.16447638673,0.9102392266268373,9.302362685275064e-11,7.751968904395887e-13,5.272859085000001e-35,4.3940492375e-37,6.673534054403201e-30
25,2.7114455506463455e-30,167761.00000596102,9.044408817804034e-39,2.84138482980759e-38,1,1,1.1056554608981045e+38,1.7597053195848113e+37,5829.965441876432,5829.965441876432,24,524696889.76887894,48.58304534897027,1.2346740783039596e+89,4.1155802610131985e+88,8.445253561008528e+26,7.687201070039947e+26,11659.930883752864,0.9102392266268373,3.553186370096336e-11,2.9609886417469467e-13,5.272859085e-35,4.3940492375e-37,6.673534054403202e-30
26,4.387211059590459e-30,271442.9999963161,1.4634160875356173e-38,4.597457229747013e-38,1,1,6.833326546819594e+37,1.0875576976874102e+37,3603.1167963169373,3603.116796316937,24,324280511.66852427,30.025973302641145,1.8013652034703113e+88,6.004550678234371e+87,5.219453744314358e+26,4.750951539639251e+26,7206.233592633875,0.9102392266268373,1.357196425013939e-11,1.1309970208449493e-13,5.272859085000001e-35,4.3940492375000005e-37,6.673534054403202e-30
27,7.098656610236799e-30,439204.0000022768,2.367856969316019e-38,7.438842059554598e-38,1,1,4.2232280621614607e+37,6.721476218974027e+36,2226.8486455595003,2226.8486455595003,24,200416378.10035503,18.557072046329168,2.628156412525558e+87,8.760521375085194e+86,3.225799816694178e+26,2.936249530400702e+26,4453.6972911190005,0.9102392266268373,5.184029049454773e-12,4.3200242078789776e-14,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
28,1.148586766982727e-29,710646.9999985936,3.83127305685164e-38,1.2036299289301622e-37,1,1,2.6100984846581335e+37,4.154100757900075e+36,1376.2681507574373,1376.268150757437,24,123864133.56816934,11.468901256311975,3.8344285297576013e+86,1.2781428432525338e+86,1.9936539276201805e+26,1.8147020092385497e+26,2752.5363015148746,0.9102392266268373,1.980122898224909e-12,1.650102415187424e-14,5.272859085000001e-35,4.3940492375e-37,6.673534054403201e-30
29,1.8584524280064069e-29,1149851.0000008703,6.19913002616766e-38,1.947514134885622e-37,1,1,1.613129577503323e+37,2.5673754610739455e+36,850.5804948020608,850.5804948020608,24,76552244.53218547,7.088170790017174,5.59435583047748e+85,1.8647852768258268e+85,1.2321458890739945e+26,1.1215475211621497e+26,1701.1609896041216,0.9102392266268373,7.56339645219967e-13,6.302830376833058e-15,5.272859085e-35,4.3940492375000005e-37,6.673534054403201e-30
30,3.0070391949891314e-29,1860497.9999994626,1.0030403083019291e-37,3.151144063815782e-37,1,1,9.96968907154812e+36,1.586725296826132e+36,525.6876559553772,525.6876559553772,24,47311889.03598395,4.38073046629481,8.162055157662794e+84,2.7206850525542645e+84,7.615080385461868e+25,6.931544880764009e+25,1051.3753119107544,0.9102392266268373,2.888960374349908e-13,2.4074669786249233e-15,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
31,4.8654916229955436e-29,3010349.000000336,1.6229533109186968e-37,5.098658198701409e-37,1,1,6.161606703485112e+36,9.806501642478137e+35,324.89283884668373,324.89283884668373,24,29240355.496201538,2.7074403237223645,1.1908277988646163e+84,3.969425996215388e+83,4.706378505278079e+25,4.283930330857489e+25,649.7856776933675,0.9102392266268373,1.1034846708500423e-13,9.195705590417018e-16,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
32,7.872530817984674e-29,4870846.999999798,2.6259936192206255e-37,8.24980226251719e-37,1,1,3.808082368062997e+36,6.060751325783163e+35,200.79481710869285,200.79481710869288,24,18071533.53978236,1.6732901425724405,1.737394343895641e+83,5.791314479652137e+82,2.908701880183781e+25,2.6476145499065123e+25,401.5896342173857,0.9102392266268373,4.214936382002264e-14,3.5124469850018866e-16,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
33,1.2738022440980208e-28,7881196.0000001285,4.248946930139319e-37,1.334846046121859e-36,1,1,2.3535243354221205e+36,3.745750316694984e+35,124.09802173799115,124.09802173799115,24,11168821.956419203,1.0341501811499263,2.5348241862329397e+82,8.4494139541098e+81,1.797676625094302e+25,1.6363157809509804e+25,248.1960434759823,0.9102392266268373,1.6099624375063555e-14,1.3416353645886295e-16,5.272859085e-35,4.3940492375000005e-37,6.673534054403201e-30
34,2.061055325896487e-28,12752042.999999918,6.874940549359941e-37,2.1598262723735768e-36,1,1,1.4545580326408793e+36,2.315001009088184e+35,76.69679537070186,76.69679537070185,24,6902711.583363166,0.6391399614225155,3.6982586467412994e+81,1.2327528822470998e+81,1.1110252550894812e+25,1.0112987689555341e+25,153.39359074140373,0.9102392266268373,6.149509305167998e-15,5.1245910876399984e-17,5.272859085000001e-35,4.3940492375e-37,6.673534054403202e-30
35,3.334857569994505e-28,20633239.00000003,1.112388747949925e-36,3.494672318495433e-36,1,1,8.989663027812429e+35,1.4307493076068026e+35,47.401226367289375,47.40122636728937,24,4266110.373056043,0.3950102197274114,5.395686648596595e+80,1.7985622161988648e+80,6.86651370004822e+24,6.250170119954474e+24,94.80245273457875,0.9102392266268373,2.3489035404404294e-15,1.9574196170336912e-17,5.272859085000001e-35,4.3940492375e-37,6.673534054403201e-30
36,5.395912895891007e-28,33385282.00000004,1.799882802885924e-36,5.654498590869025e-36,1,1,5.555917298596356e+35,8.842517014813799e+34,29.295569003412453,29.29556900341245,24,2636601.2103071203,0.24412974169510376,7.87220072763063e+79,2.62406690921021e+79,4.2437388508465875e+24,3.8628175696008613e+24,58.591138006824906,0.9102392266268373,8.972013161532756e-16,7.476677634610631e-18,5.272859085000001e-35,4.3940492375000005e-37,6.673534054403201e-30
