id,lambda,branch,alpha0,beta_plus0,beta_minus0,p_plus0,p_minus0,p_alpha0,momentum_rescale,tau_end,t_end,alpha_min,alpha_max,shear_max,shear_end,beta_max,wall_bounces,lyapunov_tau_bounded_only,recurrence,peaks_beta_plus,constraint_residual,steps,stop_reason,class
24,0,contracting,0.643898996,0.218243201,-0.218243201,4.389900,17.856262,75.166223,1.000000,0.446417462,1.197940691e+0,-8.362279681,0.643898996,1.332568e+0,9.903522e-1,6.294591577,2,,0.079415999,1,1.727702e-11,1766,collapse,singular
25,0,contracting,0.423288896,-0.254932479,0.254932479,-17.671110,-20.858112,23.618529,1.000000,1.620803747,1.556063347e+0,-8.616414409,0.423288896,2.150755e+0,9.999959e-1,4.335658273,2,,0.663546484,0,1.135821e-10,1916,collapse,singular
26,0,contracting,0.202678795,0.371891841,-0.371891841,-39.732120,30.427514,121.532426,1.000000,0.096068122,2.196177575e-1,-8.800088575,0.202678795,1.010591e+0,9.851185e-1,8.313666533,1,,1.000000000,0,1.115864e-12,416,collapse,singular
27,0,contracting,0.882068695,-0.101283839,0.101283839,100.928491,-29.651650,22.955216,3.578153,0.719710533,2.669133820e+0,-8.213849921,0.882068695,2.100000e+1,9.994657e-1,3.299351845,3,,1.019137622,0,1.272772e-10,2155,collapse,singular
28,0,contracting,0.661458595,0.525540481,-0.525540481,6.145859,42.998767,698.929677,1.000000,0.018880358,1.705764690e-1,-8.345413770,0.661458595,1.000954e+0,9.969653e-1,8.142242719,1,,1.000000000,0,1.283405e-12,320,collapse,singular
29,0.08,expanding,0.829389900,0.076824320,-0.076824320,54.666629,14.979473,-12.368980,2.383131,0.011693866,4.243361229e+1,0.829389900,6.832474829,2.100000e+1,1.085533e-11,0.265254834,3,,1.000000000,0,2.624443e-13,2054,de Sitter escape,transient
30,0.08,expanding,0.608779799,-0.396351360,0.396351360,0.877980,-32.428748,-115.821751,1.000000,0.005185857,3.591749845e+1,0.608779799,6.609582630,9.669753e-1,4.703749e-11,0.560525469,0,,1.000000000,0,2.635887e-13,1841,de Sitter escape,transient
31,0.08,expanding,0.388169699,0.230472960,-0.230472960,-21.183030,18.856879,-61.744585,1.000000,0.012748114,3.764194704e+1,0.388169699,6.390120841,1.865327e+0,2.552780e-10,0.422865312,2,,1.000000000,0,2.634970e-13,1998,de Sitter escape,transient
32,0.08,expanding,0.167559598,-0.242702720,0.242702720,-43.244040,-19.857495,-47.172093,1.000000,0.016141574,3.643845389e+1,0.167559598,6.168447963,1.483178e+0,4.603646e-10,0.385994626,3,,1.000000000,0,2.627567e-13,2005,de Sitter escape,transient
33,0.08,expanding,0.846949498,0.384121600,-0.384121600,24.694950,31.428131,-443.294541,1.000000,0.001526066,3.381318994e+1,0.846949498,6.849248270,8.556542e-1,4.194235e-11,0.543229977,2,,1.000000000,0,2.622212e-13,1610,de Sitter escape,transient
34,0.08,expanding,0.626339398,-0.089054079,0.089054079,16.651298,-46.062330,-10.688231,6.321822,1.574006990,6.248994611e+0,-8.375152421,0.643371157,1.411990e+6,9.493621e-1,4.865523602,5,,0.904651047,2,1.945418e-10,2626,collapse,singular
35,0.08,expanding,0.405729297,0.537770241,-0.537770241,-19.427070,43.999383,-451.606841,1.000000,0.002032771,3.084993355e+1,0.405729297,6.407336430,9.778310e-1,3.809690e-9,0.760521968,2,,1.000000000,0,2.631034e-13,1559,de Sitter escape,transient
